Generation
0.000
0.000
0.000
0.000
0.000
0.000
0.003
0.150
0.334
0.494
0.610
0.672
0.689
0.653
0.587
0.436
0.225
0.019
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.003
0.123
0.283
0.437
0.529
0.621
0.701
0.687
0.596
0.447
0.242
0.024
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.004
0.155
0.366
0.538
0.667
0.723
0.729
0.684
0.587
0.440
0.235
0.021
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.004
0.190
0.399
0.550
0.648
0.699
0.703
0.666
0.590
0.418
0.230
0.025
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.007
0.205
0.401
0.559
0.627
0.702
0.681
0.634
0.544
0.406
0.217
0.022
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.006
0.194
0.395
0.541
0.643
0.723
0.724
0.676
0.579
0.429
0.227
0.024
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.005
0.178
0.376
0.527
0.660
0.687
0.690
0.674
0.579
0.430
0.224
0.021
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.006
0.203
0.409
0.564
0.668
0.714
0.716
0.669
0.573
0.427
0.228
0.024
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.007
0.211
0.417
0.572
0.674
0.722
0.721
0.674
0.576
0.430
0.229
0.025
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.007
0.209
0.412
0.565
0.669
0.718
0.724
0.684
0.590
0.443
0.240
0.028
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.005
0.194
0.429
0.591
0.695
0.748
0.752
0.706
0.609
0.457
0.252
0.031
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.006
0.171
0.380
0.531
0.664
0.724
0.734
0.692
0.595
0.445
0.239
0.028
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.008
0.212
0.418
0.576
0.684
0.739
0.740
0.692
0.595
0.447
